telemetry_id,timestamp,equipment_id,model,longitude,engine_status,engine_hours,operating_hours,utilization_pct,maintenance_status,rental_id,vendor_name,checkout_datetime,expected_return_datetime,fuel_efficiency_liters_per_operating_hour,anomaly_injected,checkin_datetime,rental_status_generated
T0000042,2025-10-12 09:36:00,EQX0001,Komatsu GD655,77.749726,Off,2.41,1.15,47.53,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,14.878260869565215,False,2026-09-08 03:53:03.598891738,on_time
T0000043,2025-10-13 09:53:00,EQX0001,Komatsu GD655,77.749652,Off,2.49,0.42,16.73,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,26.88095238095238,False,2026-09-08 03:53:03.598891738,on_time
T0000044,2025-10-14 13:27:00,EQX0001,Komatsu GD655,77.750064,Running,10.18,6.61,64.94,Service Due,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,10.390317700453858,False,2026-09-08 03:53:03.598891738,on_time
T0000045,2025-10-15 10:53:00,EQX0001,Komatsu GD655,77.747221,Off,3.0,1.5,49.98,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,15.673333333333334,False,2026-09-08 03:53:03.598891738,on_time
T0000046,2025-10-16 12:51:00,EQX0001,Komatsu GD655,77.746182,Running,6.2,6.1,98.39,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,9.314754098360655,False,2026-09-08 03:53:03.598891738,on_time
T0000047,2025-10-17 16:01:00,EQX0001,Komatsu GD655,77.748586,Off,3.12,0.64,20.54,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,23.6875,False,2026-09-08 03:53:03.598891738,on_time
T0000048,2025-10-18 18:46:00,EQX0001,Komatsu GD655,77.751216,Off,2.79,0.75,27.08,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,19.56,False,2026-09-08 03:53:03.598891738,on_time
T0000049,2025-10-19 12:19:00,EQX0001,Komatsu GD655,77.74974,Running,5.16,2.79,54.05,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,13.480286738351252,False,2026-09-08 03:53:03.598891738,on_time
T0000050,2025-10-20 17:10:00,EQX0001,Komatsu GD655,77.750166,Running,10.37,7.53,72.65,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,14.0,False,2026-09-08 03:53:03.598891738,on_time
T0000051,2025-10-21 16:06:00,EQX0001,Komatsu GD655,77.751711,Running,11.89,6.86,57.73,Service Due,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,14.832361516034984,False,2026-09-08 03:53:03.598891738,on_time
T0000052,2025-10-22 08:41:00,EQX0001,Komatsu GD655,77.745434,Running,8.56,5.99,69.94,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,10.99499165275459,False,2026-09-08 03:53:03.598891738,on_time
T0000053,2025-10-23 15:53:00,EQX0001,Komatsu GD655,77.750388,Running,12.99,8.51,65.54,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,15.75910693301998,False,2026-09-08 03:53:03.598891738,on_time
T0000054,2025-10-24 09:24:00,EQX0001,Komatsu GD655,77.751677,Running,5.08,4.98,98.03,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,14.054216867469878,False,2026-09-08 03:53:03.598891738,on_time
T0000055,2025-10-25 14:52:00,EQX0001,Komatsu GD655,77.744938,Off,1.27,0.99,77.39,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,11.97979797979798,False,2026-09-08 03:53:03.598891738,on_time
T0000056,2025-10-26 13:25:00,EQX0001,Komatsu GD655,77.750725,Running,9.04,5.91,65.39,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,12.22165820642978,False,2026-09-08 03:53:03.598891738,on_time
T0000057,2025-10-27 14:48:00,EQX0001,Komatsu GD655,77.751529,Off,0.59,0.59,100.0,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,15.05084745762712,False,2026-09-08 03:53:03.598891738,on_time
T0000058,2025-10-28 09:51:00,EQX0001,Komatsu GD655,77.747823,Running,11.46,8.92,77.81,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,12.23878923766816,False,2026-09-08 03:53:03.598891738,on_time
T0000059,2025-10-29 18:55:00,EQX0001,Komatsu GD655,77.749365,Running,7.34,7.24,98.64,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,9.124309392265191,False,2026-09-08 03:53:03.598891738,on_time
T0000060,2025-10-30 16:14:00,EQX0001,Komatsu GD655,77.750673,Running,9.92,6.59,66.47,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,12.068285280728375,False,2026-09-08 03:53:03.598891738,on_time
T0000061,2025-10-31 14:06:00,EQX0001,Komatsu GD655,77.747443,Running,5.29,4.51,85.19,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,11.443458980044346,False,2026-09-08 03:53:03.598891738,on_time
T0000062,2025-11-01 15:57:00,EQX0001,Komatsu GD655,77.751992,Running,4.65,4.07,87.36,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,10.8009828009828,False,2026-09-08 03:53:03.598891738,on_time
T0000063,2025-11-02 11:01:00,EQX0001,Komatsu GD655,77.751,Running,9.18,7.34,79.99,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,15.43324250681199,False,2026-09-08 03:53:03.598891738,on_time
T0000064,2025-11-03 08:00:00,EQX0001,Komatsu GD655,77.748174,Running,6.2,5.01,80.84,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,16.59481037924152,False,2026-09-08 03:53:03.598891738,on_time
T0000065,2025-11-04 16:23:00,EQX0001,Komatsu GD655,77.751754,Running,3.69,2.9,78.62,Service Due,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,14.303448275862069,False,2026-09-08 03:53:03.598891738,on_time
T0000066,2025-11-05 17:00:00,EQX0001,Komatsu GD655,77.755333,Running,8.02,4.2,52.4,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,18.11428571428572,False,2026-09-08 03:53:03.598891738,on_time
T0000067,2025-11-06 07:17:00,EQX0001,Komatsu GD655,77.751681,Running,4.71,4.09,86.76,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,12.293398533007336,False,2026-09-08 03:53:03.598891738,on_time
T0000068,2025-11-07 16:56:00,EQX0001,Komatsu GD655,77.744885,Running,4.19,3.21,76.6,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,16.585669781931465,False,2026-09-08 03:53:03.598891738,on_time
T0000069,2025-11-08 17:49:00,EQX0001,Komatsu GD655,77.746195,Running,9.98,6.85,68.63,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,12.54014598540146,False,2026-09-08 03:53:03.598891738,on_time
T0000070,2025-11-09 14:17:00,EQX0001,Komatsu GD655,77.746426,Off,1.87,0.83,44.31,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,17.89156626506024,False,2026-09-08 03:53:03.598891738,on_time
T0000071,2025-11-10 14:24:00,EQX0001,Komatsu GD655,77.747062,Running,8.61,7.58,88.08,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,13.883905013192612,False,2026-09-08 03:53:03.598891738,on_time
T0000072,2025-11-11 17:25:00,EQX0001,Komatsu GD655,77.754725,Running,10.83,7.33,67.62,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,12.167803547066848,False,2026-09-08 03:53:03.598891738,on_time
T0000073,2025-11-12 12:01:00,EQX0001,Komatsu GD655,77.74788,Running,8.31,7.18,86.39,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,10.15041782729805,False,2026-09-08 03:53:03.598891738,on_time
T0000074,2025-11-13 19:02:00,EQX0001,Komatsu GD655,77.747681,Off,3.13,0.62,19.9,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,23.467741935483872,False,2026-09-08 03:53:03.598891738,on_time
T0000075,2025-11-14 18:40:00,EQX0001,Komatsu GD655,77.751116,Off,0.9,0.28,31.25,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,12.07142857142857,False,2026-09-08 03:53:03.598891738,on_time
T0000076,2025-11-15 11:16:00,EQX0001,Komatsu GD655,77.752218,Running,8.25,7.63,92.5,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,11.64613368283093,False,2026-09-08 03:53:03.598891738,on_time
T0000077,2025-11-16 14:05:00,EQX0001,Komatsu GD655,78.483508,Off,2.63,1.14,43.45,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,11.421052631578949,False,2026-09-08 03:53:03.598891738,on_time
T0000078,2025-11-17 10:42:00,EQX0001,Komatsu GD655,77.746942,Running,7.04,5.69,80.77,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,10.717047451669597,False,2026-09-08 03:53:03.598891738,on_time
T0000079,2025-11-18 16:49:00,EQX0001,Komatsu GD655,77.754141,Off,0.7,0.35,50.24,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,19.371428571428574,False,2026-09-08 03:53:03.598891738,on_time
T0000080,2025-11-19 16:13:00,EQX0001,Komatsu GD655,77.749476,Running,8.65,8.55,98.84,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,14.47719298245614,False,2026-09-08 03:53:03.598891738,on_time
T0000081,2025-11-20 13:43:00,EQX0001,Komatsu GD655,77.752653,Running,9.7,7.41,76.36,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,10.076923076923077,False,2026-09-08 03:53:03.598891738,on_time
T0000082,2025-11-21 14:55:00,EQX0001,Komatsu GD655,77.748808,Running,10.69,8.31,77.71,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,15.732851985559568,False,2026-09-08 03:53:03.598891738,on_time
T0000083,2025-11-22 13:41:00,EQX0001,Komatsu GD655,77.747422,Off,0.83,0.0,0.0,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,,False,2026-09-08 03:53:03.598891738,on_time
T0000084,2025-11-23 13:40:00,EQX0001,Komatsu GD655,77.751112,Running,11.37,7.68,67.49,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,16.12109375,False,2026-09-08 03:53:03.598891738,on_time
T0000085,2025-11-24 11:21:00,EQX0001,Komatsu GD655,77.748296,Off,1.08,0.66,61.41,Service Due,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,12.409090909090908,False,2026-09-08 03:53:03.598891738,on_time
T0000086,2025-11-25 07:51:00,EQX0001,Komatsu GD655,77.747849,Running,11.24,6.67,59.32,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,15.55472263868066,False,2026-09-08 03:53:03.598891738,on_time
T0000087,2025-11-26 11:29:00,EQX0001,Komatsu GD655,77.750298,Running,7.53,5.2,69.05,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,10.963461538461535,False,2026-09-08 03:53:03.598891738,on_time
T0000088,2025-11-27 15:27:00,EQX0001,Komatsu GD655,77.751566,Off,2.73,0.96,35.05,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,20.177083333333336,False,2026-09-08 03:53:03.598891738,on_time
T0000089,2025-11-28 12:03:00,EQX0001,Komatsu GD655,77.752887,Running,9.14,5.18,56.65,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,15.683397683397684,False,2026-09-08 03:53:03.598891738,on_time
T0000090,2025-11-29 10:57:00,EQX0001,Komatsu GD655,77.746625,Off,2.89,0.0,0.0,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,,False,2026-09-08 03:53:03.598891738,on_time
T0000091,2025-11-30 16:34:00,EQX0001,Komatsu GD655,77.74976,Off,4.38,1.29,29.42,Service Due,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,19.666666666666668,False,2026-09-08 03:53:03.598891738,on_time
T0000092,2025-12-01 13:22:00,EQX0001,Komatsu GD655,77.750179,Running,7.69,5.26,68.38,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,11.676806083650192,False,2026-09-08 03:53:03.598891738,on_time
T0000093,2025-12-02 17:51:00,EQX0001,Komatsu GD655,77.749569,Running,7.86,7.01,89.08,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,10.83166904422254,False,2026-09-08 03:53:03.598891738,on_time
T0000094,2025-12-03 07:47:00,EQX0001,Komatsu GD655,77.749854,Running,10.95,7.36,67.15,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,11.012228260869565,False,2026-09-08 03:53:03.598891738,on_time
T0000095,2025-12-04 09:45:00,EQX0001,Komatsu GD655,77.749631,Running,10.83,6.26,57.8,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,11.629392971246006,False,2026-09-08 03:53:03.598891738,on_time
T0000096,2025-12-05 17:25:00,EQX0001,Komatsu GD655,77.749136,Running,8.2,5.16,62.94,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,12.079457364341083,False,2026-09-08 03:53:03.598891738,on_time
T0000097,2025-12-06 13:19:00,EQX0001,Komatsu GD655,77.747273,Off,3.5,0.92,26.39,Service Due,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,21.75,False,2026-09-08 03:53:03.598891738,on_time
T0000098,2025-12-07 18:30:00,EQX0001,Komatsu GD655,77.752135,Running,11.6,5.91,50.94,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,16.717428087986463,False,2026-09-08 03:53:03.598891738,on_time
T0000099,2025-12-08 19:05:00,EQX0001,Komatsu GD655,77.753417,Running,7.05,6.24,88.55,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,13.689102564102564,False,2026-09-08 03:53:03.598891738,on_time
T0000100,2025-12-09 08:58:00,EQX0001,Komatsu GD655,77.750812,Running,7.83,5.58,71.21,Service Due,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,9.57168458781362,False,2026-09-08 03:53:03.598891738,on_time
T0000101,2025-12-10 13:10:00,EQX0001,Komatsu GD655,77.750686,Running,6.36,4.75,74.76,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,14.084210526315792,False,2026-09-08 03:53:03.598891738,on_time
T0000102,2025-12-11 12:49:00,EQX0001,Komatsu GD655,77.747195,Running,7.52,7.13,94.84,Good,RNT015207,Vendor 020,2026-09-01 02:44:30.676929890,2026-09-08 06:41:33.163443571,13.743338008415147,False,2026-09-08 03:53:03.598891738,on_time
